match,pari,cote,prob_ml_%,ev_%
Clermont - Dijon,Victoire Dijon,2.6,42.1,9.48
Dunkerque - Montpellier,Victoire Dunkerque,2.35,60.4,41.95
Metz - Laval,Victoire Laval,4.4,42.3,86.29
Pau - Nancy,Victoire Nancy,3.1,37.6,16.45
Saint-Étienne - Grenoble,Match Nul,4.7,31.6,48.32
Saint-Étienne - Grenoble,Victoire Grenoble,7.0,37.6,162.96
Sochaux - Guingamp,Match Nul,3.35,31.6,5.72
Fortuna Sittard - AZ Alkmaar,Victoire Fortuna Sittard,4.3,30.9,32.77
Fortuna Sittard - AZ Alkmaar,Match Nul,4.2,31.6,32.54
Sparta Rotterdam - Utrecht,Match Nul,3.3,31.6,4.14
Heerenveen - Zwolle,Match Nul,4.2,31.6,32.54
Heerenveen - Zwolle,Victoire Zwolle,4.4,37.6,65.29
GO Ahead Eagles - ADO La Haye,Match Nul,3.75,31.6,18.34
GO Ahead Eagles - ADO La Haye,Victoire ADO La Haye,3.85,37.6,44.63
PSV Eindhoven - Groningue,Match Nul,5.1,31.6,60.94
PSV Eindhoven - Groningue,Victoire Groningue,5.9,37.6,121.63
Cambuur - Feyenoord,Victoire Cambuur,7.25,30.9,123.86
Cambuur - Feyenoord,Match Nul,5.5,31.6,73.57
Trenčín - Spartak Trnava,Victoire Trenčín,3.55,30.9,9.61
Trenčín - Spartak Trnava,Match Nul,3.55,31.6,12.03
Ružomberok - Dukla Banská Bystrica,Match Nul,3.45,31.6,8.87
Ružomberok - Dukla Banská Bystrica,Victoire Dukla Banská Bystrica,3.9,37.6,46.5
DAC Dunajská Streda - Podbrezova,Match Nul,3.75,31.6,18.34
DAC Dunajská Streda - Podbrezova,Victoire Podbrezova,3.7,37.6,38.99
Zemplin Michalovce - Skalica,Match Nul,3.3,31.6,4.14
Zemplin Michalovce - Skalica,Victoire Skalica,3.15,37.6,18.33
Žilina - Komárno,Match Nul,3.6,31.6,13.61
Žilina - Komárno,Victoire Komárno,4.0,37.6,50.26
Košice - Slovan Bratislava,Match Nul,3.55,31.6,12.03
Korona Kielce - Motor Lublin,Match Nul,3.4,31.6,7.3
Korona Kielce - Motor Lublin,Victoire Motor Lublin,3.3,37.6,23.97
KS Cracovie - Wieczysta Cracovie,Match Nul,3.35,31.6,5.72
KS Cracovie - Wieczysta Cracovie,Victoire Wieczysta Cracovie,3.1,37.6,16.45
